Motif,TF
TAL1ALPHAE47_01,Tal1;Tcf3
TAL1BETAE47_01,Tal1;Tcf3
TAL1BETAITF2_01,Tal1;Tcf4
TATA_01,Tbp
TATA_C,Tbp
TAXCREB_01,Creb1;Cntn2
TAXCREB_02,Creb1;Cntn2
TBP_01,Tbp
TBP_Q6,Tbp
TBX5_01,Tbx5
TBX5_02,Tbx5
TBX5_Q5,Tbx5
TCF11_01,Nfe2l1
TCF11MAFG_01,Mafg;Nfe2l1
TCF4_Q5,Tcf4;Tcf7l2
TEF_Q6,Tef
TEF1_Q6,Slc7a2;Tead1
TEL2_Q6,Telo2
TFE_Q6,Mitf;Tcfe3;Tcf4;Tcfeb;Tcfec
TFIIA_Q6,Gtf2a2;Gtf2a1
TFIII_Q6,Gtf2i
TGIF_01,Tgif1
TITF1_Q3,Nkx2-1;Ttf1
TST1_01,Pou3f1;Desp2
TTF1_Q6,Nkx2-1;Ttf1
UF1H3BETA_Q6,-
USF_01,Usf1
USF_02,Usf1
USF_C,Usf1
USF_Q6,Usf1;Usf2
USF_Q6_01,Usf1;Usf2
USF2_Q6,Usf2
VBP_01,Tef
VDR_Q3,Vdr
VDR_Q6,Vdr
VJUN_01,-
VMAF_01,-
VMYB_01,Tbpl1
VMYB_02,Tbpl1
WHN_B,Foxn1
WT1_Q6,Foxc1;Wt1
XBP1_01,Xbp1
XFD1_01,-
XFD2_01,-
XFD3_01,Foxa2
XPF1_Q6,-
XVENT1_01,-
YY1_01,Foxc1;Yy1
YY1_02,Foxc1;Yy1
YY1_Q6,Foxc1;Yy1
YY1_Q6_02,Foxc1;Yy1
ZBRK1_01,Foxc1
ZEC_01,Zfp628
ZF5_01,Zfp161
ZF5_B,Zfp161
ZIC1_01,Foxc1;Zic1
ZIC2_01,Foxc1;Zic2
ZIC3_01,Foxc1;Zic3
ZID_01,Foxc1;Zbtb6
ZNF219_01,Foxc1
ZTA_Q2,-
